r x c,|M|,1024,4096,1e5,1e8
1000x1000,1,108,108,109,1981
1000x1000,10,425,426,437,19322
10000x10000,1,3991,3990,3991,5957
10000x10000,10,37231,37175,37105,55022
10000x100000,1,39649,38374,39621,40283
